product_id,product_slug,product_title,short_desc,long_desc,product_type,featured,active,categories,images,variant_id,sku,price,sale_price,sale_start,sale_end,currency,stock,weight,ean,is_digital,variant_active,options,original_images
1,nice-computer,"Nice Computer","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.
Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",physical,1,1,Computers,images/pexels-karoldach-400678.jpg,1,0001,546.00,,,,USD,97,2.000,,0,1,"Processor speed:3.8GHz",
1,nice-computer,"Nice Computer","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.
Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",physical,1,1,Computers,images/pexels-karoldach-400678.jpg,15,0011-0,654.00,,,,USD,88,2.000,,0,1,"Processor speed:4.1GHz",
2,fast-computer,"Fast computer","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.
Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",physical,1,1,Computers,images/pexels-pixabay-38568.jpg,2,0002,987.00,,,,USD,95,3.000,,0,1,,
3,nice-gpu,"Nice GPU","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",physical,1,1,GPU,images/pexels-myleskuo-2399840.jpg,3,0003,546.00,,,,USD,41,0.500,,0,1,Color:Multicolor,
3,nice-gpu,"Nice GPU","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",physical,1,1,GPU,images/pexels-myleskuo-2399840.jpg,4,0004,546.00,,,,USD,48,0.500,,0,1,Color:White,
5,core-cpu,"Core CPU","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",physical,1,1,CPU,images/pexels-pixabay-40879.jpg,5,0008,568.00,,,,MKD,143,0.000,,0,1,Speed:4.0GHz,
5,core-cpu,"Core CPU","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",physical,1,1,CPU,images/pexels-pixabay-40879.jpg,6,0009,698.00,,,,MKD,149,0.000,,0,1,Speed:5GHz,
6,fast-ram,"Fast RAM","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",physical,0,1,RAM,images/pexels-athena-2582928.jpg,7,0011,98.00,,,,USD,39,0.000,,0,1,,
7,nice-laptop,"Nice laptop","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.
Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",physical,1,1,Laptops,"images/nordwood-themes-_sg8nXmpWDM-unsplash.jpg,images/giorgio-trovato-8krX0HkXw8c-unsplash.jpg,images/dell-yNvVnPcurD8-unsplash.jpg",8,0014,985.00,,,,USD,26,0.800,,0,1,,
8,nice-phone,"Nice Phone","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",physical,0,1,Smartphones,images/shiwa-id-Uae7ouMw91A-unsplash.jpg,9,0018,568.00,,,,USD,59,0.000,12345670,0,1,,
