Handle,Title,"Body (HTML)",Vendor,"Product Category",Type,Tags,Published,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Qty","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Variant Image"
nice-computer,"Nice Computer","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.
Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",,Computers,,,TRUE,"Processor speed",3.8GHz,,,,,0001,2000,97,546.00,,TRUE,TRUE,,images/pexels-karoldach-400678.jpg,
nice-computer,"Nice Computer","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.
Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",,Computers,,,TRUE,"Processor speed",4.1GHz,,,,,0011-0,2000,88,654.00,,TRUE,TRUE,,images/pexels-karoldach-400678.jpg,
fast-computer,"Fast computer","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.
Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",,Computers,,,TRUE,,,,,,,0002,3000,95,987.00,,TRUE,TRUE,,images/pexels-pixabay-38568.jpg,
nice-gpu,"Nice GPU","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",,GPU,,,TRUE,Color,Multicolor,,,,,0003,500,41,546.00,,TRUE,TRUE,,images/pexels-myleskuo-2399840.jpg,
nice-gpu,"Nice GPU","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",,GPU,,,TRUE,Color,White,,,,,0004,500,48,546.00,,TRUE,TRUE,,images/pexels-myleskuo-2399840.jpg,
core-cpu,"Core CPU","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",,CPU,,,TRUE,Speed,4.0GHz,,,,,0008,0,143,568.00,,TRUE,TRUE,,images/pexels-pixabay-40879.jpg,
core-cpu,"Core CPU","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",,CPU,,,TRUE,Speed,5GHz,,,,,0009,0,149,698.00,,TRUE,TRUE,,images/pexels-pixabay-40879.jpg,
fast-ram,"Fast RAM","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",,RAM,,,TRUE,,,,,,,0011,0,39,98.00,,TRUE,TRUE,,images/pexels-athena-2582928.jpg,
nice-laptop,"Nice laptop","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.
Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",,Laptops,,,TRUE,,,,,,,0014,800,26,985.00,,TRUE,TRUE,,images/nordwood-themes-_sg8nXmpWDM-unsplash.jpg,
nice-phone,"Nice Phone","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",,Smartphones,,,TRUE,,,,,,,0018,0,59,568.00,,TRUE,TRUE,12345670,images/shiwa-id-Uae7ouMw91A-unsplash.jpg,
another-nice-phone,"Another nice phone","Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.Lorem ipsum dolor sit amet consectetur adipisicing elit. Ab ducimus asperiores dolorem sequi nobis animi eveniet possimus vero quam, deleniti modi pariatur reiciendis harum, cumque eaque. Repellendus unde sit consequuntur.",,Smartphones,,,TRUE,,,,,,,0020,0,24,245.00,,TRUE,TRUE,12345670,images/omid-armin-AGRtDoZlpYw-unsplash.jpg,
