Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
classic-cotton-tshirt,Classic Cotton T-Shirt,"<p>Our classic t-shirt is made from 100% organic cotton, pre-shrunk and enzyme-washed for ultimate softness.</p><ul><li>100% organic cotton</li><li>Pre-shrunk</li><li>Reinforced shoulders</li></ul>",Your Brand,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirts,"cotton, summer, casual",true,Color,Black,Size,S,,,TSHIRT-BLK-S,180,shopify,45,deny,manual,24.99,,true,true,,https://cdn.shopify.com/tshirt-black-1.jpg,1,Classic Cotton T-Shirt in Black,false,Classic Cotton T-Shirt | Your Store,Shop our premium organic cotton t-shirt,Apparel & Accessories > Clothing > Shirts & Tops,Unisex,Adult,TSHIRT-BLK-S,new,,g,,12.00,active
classic-cotton-tshirt,Classic Cotton T-Shirt,"<p>Our classic t-shirt is made from 100% organic cotton, pre-shrunk and enzyme-washed for ultimate softness.</p><ul><li>100% organic cotton</li><li>Pre-shrunk</li><li>Reinforced shoulders</li></ul>",Your Brand,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirts,"cotton, summer, casual",true,Color,Black,Size,M,,,TSHIRT-BLK-M,195,shopify,62,deny,manual,24.99,,true,true,,,,,false,,,,,,,,,g,,12.00,active
classic-cotton-tshirt,Classic Cotton T-Shirt,"<p>Our classic t-shirt is made from 100% organic cotton, pre-shrunk and enzyme-washed for ultimate softness.</p><ul><li>100% organic cotton</li><li>Pre-shrunk</li><li>Reinforced shoulders</li></ul>",Your Brand,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirts,"cotton, summer, casual",true,Color,Black,Size,L,,,TSHIRT-BLK-L,210,shopify,38,deny,manual,24.99,,true,true,,,,,false,,,,,,,,,g,,12.00,active
classic-cotton-tshirt,Classic Cotton T-Shirt,"<p>Our classic t-shirt is made from 100% organic cotton, pre-shrunk and enzyme-washed for ultimate softness.</p><ul><li>100% organic cotton</li><li>Pre-shrunk</li><li>Reinforced shoulders</li></ul>",Your Brand,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirts,"cotton, summer, casual",true,Color,White,Size,M,,,TSHIRT-WHT-M,195,shopify,55,deny,manual,24.99,,true,true,,https://cdn.shopify.com/tshirt-white-1.jpg,2,Classic Cotton T-Shirt in White,false,,,,,,,,,g,,12.00,active
premium-zip-hoodie,Premium Zip Hoodie,"<p>Stay warm in style with our premium zip hoodie. Features a soft fleece lining and durable YKK zipper.</p>",Your Brand,Apparel & Accessories > Clothing > Outerwear,Hoodies,"winter, hoodie, fleece",true,Color,Gray,Size,M,,,HOODIE-GRY-M,450,shopify,28,deny,manual,59.99,74.99,true,true,,https://cdn.shopify.com/hoodie-gray-1.jpg,1,Premium Zip Hoodie in Gray,false,Premium Zip Hoodie | Your Store,Cozy fleece-lined hoodie perfect for cooler weather,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Unisex,Adult,HOODIE-GRY-M,new,,g,,28.00,active
premium-zip-hoodie,Premium Zip Hoodie,"<p>Stay warm in style with our premium zip hoodie. Features a soft fleece lining and durable YKK zipper.</p>",Your Brand,Apparel & Accessories > Clothing > Outerwear,Hoodies,"winter, hoodie, fleece",true,Color,Gray,Size,L,,,HOODIE-GRY-L,480,shopify,22,deny,manual,59.99,74.99,true,true,,,,,false,,,,,,,,,g,,28.00,active
premium-zip-hoodie,Premium Zip Hoodie,"<p>Stay warm in style with our premium zip hoodie. Features a soft fleece lining and durable YKK zipper.</p>",Your Brand,Apparel & Accessories > Clothing > Outerwear,Hoodies,"winter, hoodie, fleece",true,Color,Navy,Size,M,,,HOODIE-NVY-M,450,shopify,31,deny,manual,59.99,74.99,true,true,,https://cdn.shopify.com/hoodie-navy-1.jpg,2,Premium Zip Hoodie in Navy,false,,,,,,,,,g,,28.00,active
ceramic-coffee-mug,Ceramic Coffee Mug,"<p>Start your day right with our oversized ceramic mug. Dishwasher and microwave safe.</p>",Your Brand,Home & Garden > Kitchen & Dining > Tableware > Drinkware,Drinkware,"coffee, mug, gift",true,Color,White,,,,,MUG-COFFEE-WHT,340,shopify,150,deny,manual,12.99,,true,true,,https://cdn.shopify.com/mug-white-1.jpg,1,Ceramic Coffee Mug in White,false,Ceramic Coffee Mug 15oz | Your Store,Large ceramic coffee mug perfect for your morning brew,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Mugs,,,MUG-COFFEE-WHT,new,,g,,5.00,active
ceramic-coffee-mug,Ceramic Coffee Mug,"<p>Start your day right with our oversized ceramic mug. Dishwasher and microwave safe.</p>",Your Brand,Home & Garden > Kitchen & Dining > Tableware > Drinkware,Drinkware,"coffee, mug, gift",true,Color,Black,,,,,MUG-COFFEE-BLK,340,shopify,120,deny,manual,12.99,,true,true,,https://cdn.shopify.com/mug-black-1.jpg,2,Ceramic Coffee Mug in Black,false,,,,,,,,,g,,5.00,active
mountain-landscape-poster,Mountain Landscape Poster,"<p>Stunning mountain landscape photograph printed on premium archival paper. Frame not included.</p>",Your Brand,Home & Garden > Decor > Artwork > Posters & Prints,Posters,"landscape, mountains, photography",true,Size,24x36,,,,,POSTER-MOUNT,150,shopify,75,deny,manual,29.99,,true,true,,https://cdn.shopify.com/poster-mountain-1.jpg,1,Mountain Landscape Poster,false,Mountain Landscape Poster | Your Store,Beautiful mountain landscape art print on archival paper,Home & Garden > Decor > Artwork > Posters & Prints,,,POSTER-MOUNT,new,,g,,8.00,active
