product_id,product_code,product_name,product_alias,product_description,product_meta_description,product_keywords,product_page_title,product_type,product_published,product_quantity,product_msrp,product_price,product_weight,product_categories,product_images,variant_code,variant_price,variant_quantity,characteristic_1,characteristic_2
1,TSHIRT,Classic Cotton T-Shirt,classic-cotton-tshirt,"<p>Our classic t-shirt is made from 100% organic cotton, pre-shrunk and enzyme-washed for ultimate softness.</p>",Shop our premium organic cotton t-shirt,"cotton,tshirt,summer",Classic Cotton T-Shirt | Your Store,main,1,0,29.99,24.99,0.180,"Clothing,T-Shirts",tshirt-black-1.jpg,TSHIRT-BLK-S,24.99,45,Black,S
1,TSHIRT,Classic Cotton T-Shirt,classic-cotton-tshirt,"<p>Our classic t-shirt is made from 100% organic cotton, pre-shrunk and enzyme-washed for ultimate softness.</p>",Shop our premium organic cotton t-shirt,"cotton,tshirt,summer",Classic Cotton T-Shirt | Your Store,main,1,0,29.99,24.99,0.195,"Clothing,T-Shirts",tshirt-black-1.jpg,TSHIRT-BLK-M,24.99,62,Black,M
1,TSHIRT,Classic Cotton T-Shirt,classic-cotton-tshirt,"<p>Our classic t-shirt is made from 100% organic cotton, pre-shrunk and enzyme-washed for ultimate softness.</p>",Shop our premium organic cotton t-shirt,"cotton,tshirt,summer",Classic Cotton T-Shirt | Your Store,main,1,0,29.99,24.99,0.210,"Clothing,T-Shirts",tshirt-black-1.jpg,TSHIRT-BLK-L,24.99,38,Black,L
1,TSHIRT,Classic Cotton T-Shirt,classic-cotton-tshirt,"<p>Our classic t-shirt is made from 100% organic cotton, pre-shrunk and enzyme-washed for ultimate softness.</p>",Shop our premium organic cotton t-shirt,"cotton,tshirt,summer",Classic Cotton T-Shirt | Your Store,main,1,0,29.99,24.99,0.195,"Clothing,T-Shirts",tshirt-white-1.jpg,TSHIRT-WHT-M,24.99,55,White,M
2,HOODIE,Premium Zip Hoodie,premium-zip-hoodie,"<p>Stay warm in style with our premium zip hoodie. Features a soft fleece lining and durable YKK zipper.</p>",Cozy fleece-lined hoodie perfect for cooler weather,"hoodie,winter,fleece",Premium Zip Hoodie | Your Store,main,1,0,74.99,59.99,0.450,"Clothing,Hoodies",hoodie-gray-1.jpg,HOODIE-GRY-M,59.99,28,Gray,M
2,HOODIE,Premium Zip Hoodie,premium-zip-hoodie,"<p>Stay warm in style with our premium zip hoodie. Features a soft fleece lining and durable YKK zipper.</p>",Cozy fleece-lined hoodie perfect for cooler weather,"hoodie,winter,fleece",Premium Zip Hoodie | Your Store,main,1,0,74.99,59.99,0.480,"Clothing,Hoodies",hoodie-gray-1.jpg,HOODIE-GRY-L,59.99,22,Gray,L
2,HOODIE,Premium Zip Hoodie,premium-zip-hoodie,"<p>Stay warm in style with our premium zip hoodie. Features a soft fleece lining and durable YKK zipper.</p>",Cozy fleece-lined hoodie perfect for cooler weather,"hoodie,winter,fleece",Premium Zip Hoodie | Your Store,main,1,0,74.99,59.99,0.450,"Clothing,Hoodies",hoodie-navy-1.jpg,HOODIE-NVY-M,59.99,31,Navy,M
3,MUG,Ceramic Coffee Mug,ceramic-coffee-mug,"<p>Start your day right with our oversized ceramic mug. Dishwasher and microwave safe.</p>",Large ceramic coffee mug perfect for your morning brew,"mug,coffee,gift",Ceramic Coffee Mug 15oz | Your Store,main,1,0,,12.99,0.340,"Home,Kitchen,Drinkware",mug-white-1.jpg,MUG-COFFEE-WHT,12.99,150,White,
3,MUG,Ceramic Coffee Mug,ceramic-coffee-mug,"<p>Start your day right with our oversized ceramic mug. Dishwasher and microwave safe.</p>",Large ceramic coffee mug perfect for your morning brew,"mug,coffee,gift",Ceramic Coffee Mug 15oz | Your Store,main,1,0,,12.99,0.340,"Home,Kitchen,Drinkware",mug-black-1.jpg,MUG-COFFEE-BLK,12.99,120,Black,
4,POSTER-MOUNT,Mountain Landscape Poster,mountain-landscape-poster,"<p>Stunning mountain landscape photograph printed on premium archival paper. Frame not included.</p>",Beautiful mountain landscape art print on archival paper,"poster,landscape,art",Mountain Landscape Poster | Your Store,main,1,75,,29.99,0.150,"Art,Posters",poster-mountain-1.jpg,POSTER-MOUNT,29.99,75,24x36,
